"iso_code","continent","location","people_vaccinated_per_hundred","people_not_vaccinated","people_vaccinated","population"
"AFG","Asia","Afghanistan",1.15308792635165,38479463,448878,38928341
"ALB","Europe","Albania",15.587288901244,2429229,448571,2877800
"DZA","Africa","Algeria",0,0,0,43851043
"AND","Europe","Andorra",34.8553678897301,50334,26931,77265
"AGO","Africa","Angola",1.78413016044292,32279891,586377,32866268
"ATG","North America","Antigua and Barbuda",31.9234539661792,66666,31262,97928
"ARG","South America","Argentina",17.5980202752129,37242215,7953562,45195777
"ARM","Asia","Armenia",0.362003135763156,2952507,10727,2963234
"AUS","Oceania","Australia",0.624685268139094,25340587,159294,25499881
"AUT","Europe","Austria",32.4560867827323,6083275,2923125,9006400
"AZE","Asia","Azerbaijan",10.0844398089588,9116696,1022479,10139175
"BHS","North America","Bahamas",9.15452844006835,357248,36000,393248
"BHR","Asia","Bahrain",48.5869922301763,874835,826748,1701583
"BGD","Asia","Bangladesh",3.53387200436594,158869471,5819912,164689383
"BRB","North America","Barbados",26.3749647667997,211577,75794,287371
"BLR","Europe","Belarus",2.58219611758348,9205321,244000,9449321
"BEL","Europe","Belgium",33.229884406869,7738400,3851216,11589616
"BLZ","North America","Belize",12.6482253200912,347329,50292,397621
"BEN","Africa","Benin",0.088120312808551,12112515,10683,12123198
"BTN","Asia","Bhutan",62.4637771315117,289634,481978,771612
"BOL","South America","Bolivia",6.65563325508743,10896115,776914,11673029
"BIH","Europe","Bosnia and Herzegovina",2.53778405670542,3197555,83260,3280815
"BWA","Africa","Botswana",2.26970711741881,2298250,53375,2351625
"BRA","South America","Brazil",16.6464360088619,177175843,35383566,212559409
"BRN","Asia","Brunei",3.43853361159176,422440,15043,437483
"BGR","Europe","Bulgaria",10.0362886948087,6251079,697366,6948445
"BFA","Africa","Burkina Faso",0,0,0,20903278
"BDI","Africa","Burundi",0,0,0,11890781
"CPV","Africa","Cape Verde",3.35438894364627,537338,18650,555988
"KHM","Asia","Cambodia",11.9431692297331,14722196,1996775,16718971
"CMR","Africa","Cameroon",0.0414377170017898,26534864,11000,26545864
"CAN","North America","Canada",43.3572013385457,21378214,16363943,37742157
"CAF","Africa","Central African Republic",0.0138101985935545,4829097,667,4829764
"TCD","Africa","Chad",0,0,0,16425859
"CHL","South America","Chile",47.1277280971347,10107174,9009035,19116209
"CHN","Asia","China",0,0,0,1439323774
"COL","South America","Colombia",8.55197201479382,46531394,4351490,50882884
"COM","Africa","Comoros",4.96093008814448,826455,43140,869595
"COD","Africa","DRC",0.00189813906892304,89559704,1700,89561404
"COG","Africa","Congo",0.408311423586269,5495561,22531,5518092
"CRI","North America","Costa Rica",12.9031466512135,4436813,657301,5094114
"CIV","Africa","Cote d'Ivoire",1.11951596531616,26082966,295309,26378275
"HRV","Europe","Croatia",23.8760782487282,3125091,980177,4105268
"CUB","North America","Cuba",0.618013358976768,11256616,70000,11326616
"CYP","Europe","Cyprus",36.5691706463873,555590,320309,875899
"CZE","Europe","Czechia",27.984424663334,7712135,2996847,10708982
"DNK","Europe","Denmark",27.7378572539671,4185570,1606633,5792203
"DJI","Africa","Djibouti",1.26993670053299,975455,12547,988002
"DMA","North America","Dominica",26.5297051020266,52892,19099,71991
"DOM","North America","Dominican Republic",19.5679552473916,8725191,2122713,10847904
"ECU","South America","Ecuador",6.2454982298989,16541163,1101897,17643060
"EGY","Africa","Egypt",1.10808874313754,101200447,1133956,102334403
"SLV","North America","El Salvador",15.6122975529127,5473556,1012645,6486201
"GNQ","Africa","Equatorial Guinea",4.60774705360357,1338339,64646,1402985
"ERI","Africa","Eritrea",0,0,0,3546427
"EST","Europe","Estonia",29.9460475719146,929293,397246,1326539
"SWZ","Africa","Eswatini",3.0363810633669,1124937,35227,1160164
"ETH","Africa","Ethiopia",0,0,0,114963583
"FJI","Oceania","Fiji",10.3743234379392,803444,93000,896444
"FIN","Europe","Finland",37.7657372203386,3448225,2092493,5540718
"FRA","Europe","France",28.5641055948359,48265127,19299124,67564251
"GAB","Africa","Gabon",0.361005477758289,2217693,8035,2225728
"GMB","Africa","Gambia",1.02037353972253,2392005,24659,2416664
"GEO","Asia","Georgia",2.03240018299523,3908099,81076,3989175
"DEU","Europe","Germany",36.3223216572101,53351671,30432274,83783945
"GHA","Africa","Ghana",2.74208640346127,30220898,852047,31072945
"GRC","Europe","Greece",26.0805468185146,7704666,2718390,10423056
"GRD","North America","Grenada",12.2148259405078,98775,13744,112519
"GTM","North America","Guatemala",1.43588533926947,17658320,257247,17915567
"GIN","Africa","Guinea",1.09579135952203,12988884,143908,13132792
"GNB","Africa","Guinea-Bissau",0.299238108981818,1962109,5889,1967998
"GUY","South America","Guyana",19.1586390849256,635865,150694,786559
"HTI","North America","Haiti",0,0,0,11402533
"VAT","Europe","Vatican",0,0,0,809
"HND","North America","Honduras",0.555297090000937,9849608,55000,9904608
"HUN","Europe","Hungary",46.4123763631752,5176752,4483598,9660350
"ISL","Europe","Iceland",43.2504029304029,193658,147592,341250
"IND","Asia","India",10.1348563468514,1240142923,139861462,1380004385
"IDN","Asia","Indonesia",5.00885040564742,259823232,13700389,273523621
"IRN","Asia","Iran",1.75661879634116,82517517,1475436,83992953
"IRQ","Asia","Iraq",1.12713273960101,39769142,453361,40222503
"IRL","Europe","Ireland",28.5280112827666,3529141,1408655,4937796
"ISR","Asia","Israel",62.7537666334201,3223863,5431678,8655541
"ITA","Europe","Italy",30.4591667324382,42045659,18416169,60461828
"JAM","North America","Jamaica",4.57499609106023,2825688,135473,2961161
"JPN","Asia","Japan",3.18425504926775,122449125,4027333,126476458
"JOR","Asia","Jordan",7.88992408219431,9398120,805020,10203140
"KAZ","Asia","Kazakhstan",9.534983956452,16986351,1790356,18776707
"KEN","Africa","Kenya",1.7359372007,52837864,933436,53771300
"KIR",NA,NA,0,0,0,0
"PRK",NA,NA,0,0,0,0
"KOR","Asia","South Korea",7.27770715597321,47537962,3731221,51269183
"KWT","Asia","Kuwait",19.2480476227607,3448563,822000,4270563
"KGZ","Asia","Kyrgyzstan",0.568913448426019,6487074,37117,6524191
"LAO","Asia","Laos",6.52847699887129,6800573,474983,7275556
"LVA","Europe","Latvia",19.8049307550305,1512641,373561,1886202
"LBN","Asia","Lebanon",5.52409646144528,6448398,377044,6825442
"LSO","Africa","Lesotho",0.746877584896641,2126252,16000,2142252
"LBR","Africa","Liberia",0.719777083431781,5021273,36404,5057677
"LBY","Africa","Libya",1.55078662847295,6764728,106559,6871287
"LIE","Europe","Liechtenstein",27.5795159556336,27619,10518,38137
"LTU","Europe","Lithuania",31.6024260448277,1861981,860310,2722291
"LUX","Europe","Luxembourg",30.6280112975577,434252,191724,625976
"MKD","Europe","North Macedonia",7.18543904616537,1933680,149700,2083380
"MDG","Africa","Madagascar",0.00219926901209378,27690410,609,27691019
"MWI","Africa","Malawi",1.72686239983314,18799607,330348,19129955
"MYS","Asia","Malaysia",3.60523102052963,31199129,1166869,32365998
"MDV","Asia","Maldives",55.963458898661,238036,302506,540542
"MLI","Africa","Mali",0.246424418865909,20200931,49903,20250834
"MLT","Europe","Malta",62.5179202743133,165498,276041,441539
"MHL","Oceania","Marshall Islands",0,0,0,59194
"MRT","Africa","Mauritania",0.151365906324333,4642622,7038,4649660
"MUS","Africa","Mauritius",16.684030958501,1059585,212182,1271767
"MEX","North America","Mexico",11.6315239154166,113935909,14996844,128932753
"FSM","Oceania","Micronesia (country)",0,0,0,115021
"MDA","Europe","Moldova",4.89711978022605,3836415,197548,4033963
"MCO","Europe","Monaco",35.5060646213434,25310,13934,39244
"MNG","Asia","Mongolia",53.6440317091949,1519684,1758608,3278292
"MNE","Europe","Montenegro",16.0086106148756,527518,100544,628062
"MAR","Africa","Morocco",16.3641768840233,30870449,6040109,36910558
"MOZ","Africa","Mozambique",0.950180344634461,30958452,296983,31255435
"MMR","Asia","Myanmar",3.49201836713442,52509794,1900000,54409794
"NAM","Africa","Namibia",1.35171725472231,2506570,34346,2540916
